eta,f,f',f''
2.41,0.922720358570662,0.729587594689524,0.22724233486734
2.42,0.930016234517557,0.731860018038197,0.226193929223784
2.43,0.937334834697939,0.734121957330435,0.225142109092147
2.44,0.944676054271243,0.736373378421356,0.2240869413841
2.45,0.952039788055457,0.738614247835197,0.223028493546098
2.46,0.959425930533809,0.740844532770658,0.221966833547468
2.47,0.966834375861516,0.743064201106133,0.220902029868348
2.48,0.974265017872577,0.745273221404816,0.219834151487476
2.49,0.981717750086625,0.747471562919691,0.218763267869836
2.5,0.989192465715822,0.749659195598389,0.217689448954162
2.51,0.996689057671806,0.751836090087931,0.216612765140306
2.52,1.00420741857269,0.754002217739334,0.215533287276469
2.53,1.01174744075008,0.756157550612099,0.214451086646307
2.54,1.0193090162562,0.758302061478562,0.213366234955905
2.55,1.02689203687099,0.760435723828121,0.212278804320629
2.56,1.03449639410927,0.762558511871327,0.211188867251862
2.57,1.04212197922798,0.764670400543846,0.210096496643622
2.58,1.04976868323342,0.766771365510282,0.209001765759066
2.59,1.05743639688852,0.768861383167873,0.207904748216894
2.6,1.0651250107202,0.770940430650042,0.206805517977642
2.61,1.0728344150267,0.773008485829818,0.205704149329877
2.62,1.080564499885,0.775065527323117,0.204600716876303
2.63,1.08831515515823,0.77711153449188,0.203495295519765
2.64,1.09608627050315,0.779146487447078,0.202387960449177
2.65,1.10387773537762,0.78117036705157,0.20127878712536
2.66,1.11168943904814,0.783183154922824,0.200167851266803
2.67,1.11952127059737,0.785184833435492,0.199055228835352
2.68,1.12737311893172,0.787175385723846,0.197940996021828
2.69,1.13524487278896,0.789154795684064,0.19682522923158
2.7,1.1431364207458,0.79112304797638,0.195708005069977
2.71,1.15104765122556,0.79308012802708,0.194589400327842
2.72,1.15897845250583,0.795026022030358,0.193469491966838
2.73,1.16692871272613,0.796960716950026,0.192348357104804
2.74,1.17489831989563,0.798884200521074,0.191226073001048
2.75,1.18288716190084,0.800796461251084,0.190102717041602
2.76,1.19089512651335,0.8026974884215,0.188978366724447
2.77,1.19892210139757,0.804587272088744,0.187853099644704
2.78,1.20696797411846,0.806465803085191,0.186726993479804
2.79,1.21503263214931,0.808333073019989,0.185600125974636
2.8,1.22311596287951,0.810189074279735,0.184472574926685
2.81,1.23121785362231,0.812033800029002,0.183344418171153
2.82,1.2393381916226,0.813867244210714,0.182215733566081
2.83,1.24747686406471,0.815689401546375,0.181086598977466
2.84,1.25563375808017,0.81750026753615,0.179957092264383
2.85,1.26380876075553,0.819299838458794,0.178827291264117
2.86,1.27200175914012,0.821088111371435,0.177697273777308
2.87,1.28021264025383,0.822865084109208,0.176567117553112
2.88,1.28844129109492,0.824630755284739,0.175436900274389
2.89,1.29668759864777,0.826385124287483,0.174306699542913
2.9,1.30495144989064,0.828128191282912,0.17317659286462
2.91,1.31323273180347,0.829859957211558,0.172046657634891
2.92,1.32153133137559,0.831580423787907,0.170916971123873
2.93,1.32984713561347,0.833289593499146,0.169787610461853
2.94,1.33818003154846,0.834987469603765,0.168658652624676
2.95,1.3465299062445,0.836674056130012,0.167530174419225
2.96,1.3548966468058,0.838349357874204,0.166402252468956
2.97,1.36328014038454,0.840013380398894,0.1652749631995
2.98,1.37168027418853,0.841666130030889,0.164148382824337
2.99,1.38009693548884,0.843307613859132,0.163022587330537
3,1.38853001162743,0.844937839732437,0.161897652464585
3.01,1.39697939002475,0.846556816257083,0.160773653718289
3.02,1.40544495818732,0.848164552794266,0.159650666314772
3.03,1.41392660371526,0.849761059457414,0.158528765194555
3.04,1.42242421430983,0.85134634710936,0.157408025001741
3.05,1.43093767778092,0.852920427359377,0.156288520070295
3.06,1.43946688205451,0.85448331256008,0.155170324410429
3.07,1.44801171518011,0.856035015804184,0.154053511695097
3.08,1.45657206533815,0.857575550921135,0.152938155246601
3.09,1.46514782084736,0.859104932473601,0.151824328023318
3.1,1.4737388701721,0.860623175753834,0.150712102606543
3.11,1.48234510192964,0.862130296779899,0.14960155118746
3.12,1.49096640489744,0.863626312291774,0.148492745554241
3.13,1.49960266802036,0.865111239747316,0.147385757079279
3.14,1.50825378041783,0.866585097318109,0.146280656706558
3.15,1.51691963139101,0.868047903885175,0.14517751493916
3.16,1.52560011042986,0.869499679034567,0.144076401826921
3.17,1.53429510722021,0.870940443052836,0.142977386954234
3.18,1.54300451165074,0.872370216922378,0.141880539427999
3.19,1.55172821381996,0.873789022316658,0.140785927865735
3.2,1.56046610404313,0.875196881595315,0.139693620383845
3.21,1.56921807285908,0.876593817799153,0.138603684586045
3.22,1.57798401103707,0.877979854645013,0.137516187551959
3.23,1.58676380958352,0.879355016520533,0.13643119582588
3.24,1.59555735974873,0.880719328478792,0.135348775405706
3.25,1.60436455303352,0.882072816232849,0.134268991732048
3.26,1.61318528119585,0.883415506150169,0.133191909677516
3.27,1.62201943625735,0.884747425246944,0.132117593536185
3.28,1.63086691050982,0.886068601182306,0.131046107013249
3.29,1.63972759652164,0.887379062252438,0.129977513214854
3.3,1.64860138714416,0.888678837384587,0.128911874638126
3.31,1.65748817551801,0.889967956130968,0.127849253161387
3.32,1.66638785507932,0.891246448662582,0.126789710034568
3.33,1.67530031956595,0.892514345762928,0.125733305869815
3.34,1.68422546302358,0.893771678821626,0.124680100632296
3.35,1.6931631798118,0.895018479827949,0.12363015363121
3.36,1.70211336461008,0.896254781364261,0.122583523510996
3.37,1.71107591242372,0.897480616599371,0.121540268242751
3.38,1.72005071858971,0.898696019281799,0.120500445115853
3.39,1.72903767878253,0.899901023732958,0.119464110729793
3.4,1.73803668901986,0.901095664840256,0.118431320986223
3.41,1.74704764566826,0.902279978050118,0.117402131081207
3.42,1.75607044544876,0.90345399936093,0.116376595497698
3.43,1.76510498544237,0.904617765315907,0.115354767998221
3.44,1.77415116309553,0.905771312995889,0.11433670161778
3.45,1.78320887622549,0.906914680012067,0.113322448656982
3.46,1.79227802302561,0.908047904498637,0.112312060675378
3.47,1.8013585020706,0.909171025105391,0.111305588485032
3.48,1.81045021232165,0.910284080990241,0.110303082144305
